Manufacturer,Model Name,CPU,RAM,GPU,Price
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,11912523.48
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,7993374.48
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,5112900
Apple,MacBook Pro,Intel Core i7 2.7GHz,16GB,AMD Radeon Pro 455,22563005.4
Apple,MacBook Pro,Intel Core i5 3.1GHz,8GB,Intel Iris Plus Graphics 650,16037611.2
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,3556800
Apple,MacBook Pro,Intel Core i7 2.2GHz,16GB,Intel Iris Pro Graphics,19028613.24
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,10303160.4
Asus,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,13293540
Acer,Swift 3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,6846840
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,3502558.8
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3067651.08
Apple,MacBook Pro,Intel Core i7 2.8GHz,16GB,AMD Radeon Pro 555,21696213.24
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,4436218.8
Apple,"MacBook 12""",Intel Core M m3 1.2GHz,8GB,Intel HD Graphics 615,11225260.8
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,13502946.6
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,6624540
Apple,MacBook Pro,Intel Core i7 2.9GHz,16GB,AMD Radeon Pro 560,25413336
Lenovo,IdeaPad 320-15IKB,Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 940MX,4437108
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8705268
Asus,Vivobook E200HA,Intel Atom x5-Z8350 1.44GHz,2GB,Intel HD Graphics 400,1706374.8
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,8883108
HP,255 G6,AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,2294136
Dell,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7282548
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8GB,Intel HD Graphics 620,5859828
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3722546.88
Apple,MacBook Air,Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,9772308
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,7113600
Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,8GB,Intel UHD Graphics 620,11541816
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,7967232
Chuwi,"LapBook 15.6""",Intel Atom x5-Z8300 1.44GHz,4GB,Intel HD Graphics,2178451.08
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),AMD E-Series E2-6110 1.5GHz,2GB,AMD Radeon R2,1769508
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon 530,3903588
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,16619148
Apple,MacBook Air,Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,8874216
Lenovo,IdeaPad 120S-14IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2214108
Acer,Aspire 3,Intel Core i3 7130U 2.7GHz,4GB,Intel HD Graphics 620,3263364
Dell,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,8705268
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4345431.48
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,7816068
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 620,3458988
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,13329108
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,4650427.08
Acer,Aspire A515-51G,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6064344
Dell,Inspiron 7773,Intel Core i5 8250U 1.6GHz,12GB,Nvidia GeForce 150MX,8883108
Apple,MacBook Pro,Intel Core i5 2.0GHz,8GB,Intel Iris Graphics 540,12617748
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3281148
Asus,Rog Strix,AMD Ryzen 1700 3GHz,8GB,AMD Radeon RX 580,11550708
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4GB,AMD Radeon R5 M430,5681988
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Intel Pentium Quad Core N4200 1.1GHz,4GB,Nvidia GeForce 920MX,4143672
Lenovo,Yoga Book,Intel Atom x5-Z8550 1.44GHz,4GB,Intel HD Graphics 400,2836548
Acer,Aspire A515-51G,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,7478172
HP,255 G6,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,3543373.08
HP,ProBook 430,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9807876
Acer,Aspire 3,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,3414528
Dell,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 520,6827277.6
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3903588
Asus,VivoBook Max,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,5212401.48
MSI,GS73VR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,21776508
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3690180
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,11550708
Dell,Vostro 5471,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7816068
Lenovo,IdeaPad 520S-14IKB,Intel Core i3 7130U 2.7GHz,8GB,Intel HD Graphics 620,5326308
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8367372
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,6135480
Asus,ZenBook Pro,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,17632836
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,AMD Radeon 520,3900831.48
HP,Stream 14-AX040wm,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,2036268
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4881708
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050 Ti,8438508
Microsoft,Surface Laptop,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,9683388
Dell,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,8491860
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,7736040
MSI,GL72M 7RDX,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,9736740
Acer,Aspire E5-475,Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,3458988
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,8438508
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,4614948
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7602660
Acer,Aspire A515-51G-32MX,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,4712760
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,8687484
Dell,Latitude 5590,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,9747054.72
Apple,"MacBook 12""",Intel Core i5 1.3GHz,8GB,Intel HD Graphics 615,13426920
HP,ProBook 440,Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,7647120
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.5GHz,4GB,AMD R4 Graphics,3547908
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,3512340
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,11995308
HP,Pavilion 15-CK000nv,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce GTX 940MX,6215508
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,5326219.08
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,12884508
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,14662908
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,AMD FX 9830P 3GHz,8GB,AMD Radeon RX 560,6215508
Acer,Aspire 5,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,6126588
HP,Probook 430,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,10643724
Dell,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1060,10625940
Asus,Zenbook UX430UA,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,9327708
Acer,Spin 5,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7531524
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,5334310.8
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,4312620
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Intel Core i3 7100U 2.4GHz,6GB,Nvidia GeForce 920M,5130684
HP,Omen 15-ce007nv,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050,11106108
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon 530,6393348
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,3103308
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,5753124
HP,Envy 13-ad009n,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce MX150,9950148
Microsoft,Surface Laptop,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,11915280
HP,Pavilion 14-BK001nv,Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce 940MX,5859828
Lenovo,Ideapad 310-15ISK,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3689290.8
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,10608156
MSI,GP62M 7REX,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,11550708
Lenovo,Thinkpad T470,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,13160160
Asus,VivoBook S15,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,11221704
Dell,XPS 13,Intel Core i7 7560U 2.4GHz,8GB,Intel Iris Plus Graphics 640,12262068
Lenovo,ThinkPad Yoga,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,12439908
HP,Probook 440,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6420024
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,14485068
HP,Spectre x360,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,12439819.08
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9638928
Dell,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,10050894.36
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Intel Core i3 6006U 2GHz,4GB,Nvidia GeForce 920MX,5015088
Asus,VivoBook S15,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,9941256
Acer,Spin 3,Intel Core i3 7100U 2.4GHz,6GB,Intel HD Graphics 620,4259268
MSI,GS63VR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,19931418
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,5593068
HP,Probook 470,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 930MX,11301732
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,4010292
HP,250 G6,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,2303028
HP,Probook 440,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7220304
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,AMD E-Series 6110 1.5GHz,4GB,AMD Radeon R2,2471887.08
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,12413232
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8251776
Dell,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8GB,AMD Radeon R7 M445,5681899.08
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,3992508
Acer,Swift 3,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7860528
Acer,Aspire A515-51G-37JS,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,5086224
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,5317416
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,8785296
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2243985.12
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,8340696
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,4GB,Nvidia GeForce 920MX,4437108
HP,Envy 13-AD007nv,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,6215508
Acer,Aspire 5,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,5824260
Lenovo,ThinkPad E480,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,9923649.84
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,7727148
Toshiba,Satellite Pro,Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,5352984
HP,255 G6,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,3281148
Asus,ZenBook UX430UA,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9772308
HP,EliteBook Folio,Intel Core M 6Y75 1.2GHz,8GB,Intel HD Graphics 515,17908488
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,3058848
MSI,GE72MVR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,18041868
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3974724
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,11108419.92
Dell,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,7993908
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4428216
MSI,GE73VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,16805880
HP,EliteBook 840,Intel Core i5 7500U 2.7GHz,4GB,Intel HD Graphics 620,9621144
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Intel Core i5 8250U 1.6GHz,6GB,AMD Radeon 520,5504148
Lenovo,Yoga 520-14IKB,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,5593068
Asus,ZenBook Flip,Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,11692980
Dell,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,9327708
Toshiba,Satellite Pro,Intel Core i3 6006U 2.2GHz,4GB,Intel HD Graphics 520,3974724
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5 M420,3583476
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,4GB,Nvidia GeForce MX150,7158060
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,6473376
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,9594468
Acer,Aspire A315-31,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,3094416
MSI,GE63VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,15996708
Acer,Aspire 3,Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,3232330.92
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,9429877.08
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,7593768
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6704568
Huawei,MateBook X,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,11995308
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Intel Core i5 7200U 2.5GHz,6GB,AMD Radeon 520,6215508
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.9GHz,4GB,AMD Radeon R4 Graphics,2747628
Toshiba,Satellite Pro,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,4348188
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,8207316
Dell,Inspiron 3567,Intel Core i3 7100U 2.4GHz,8GB,Intel HD Graphics 620,4081428
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3992508
MSI,GT80S 6QF-074US,Intel Core i7 6920HQ 2.9GHz,32GB,Nvidia GTX 980 SLI,24888708
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Intel Core i5 7200U 2.5GHz,8GB,AMD R17M-M1-70,7229196
HP,Spectre x360,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,13329108
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,9327708
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,12439908
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,16441308
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,7051356
Xiaomi,Mi Notebook,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,10661508
Dell,Inspiron 7773,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 150MX,13773708
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,21314124
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,6926868
Acer,Swift 7,Intel Core i5 7Y54 1.2GHz,8GB,Intel HD Graphics 615,8794188
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,9647820
Lenovo,Thinkpad Yoga,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,25111008
Vero,K147 (N3350/4GB/32GB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2311920
Xiaomi,Mi Notebook,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce MX150,8891110.8
Lenovo,IdeaPad 320-17IKBR,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,6206616
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7460388
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,8127288
Razer,Blade Pro,Intel Core i7 7820HK 2.9GHz,32GB,Nvidia GeForce GTX 1080,54232308
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8527428
